preset,family,pattern_kind,side,base_idx,tip_idx,conf_idx,flag_end_idx,exit_idx,support_pivot_idx,resist_pivot_idx,flag_extreme_idx,base_time,tip_time,entry_time,exit_time,base_price,tip_price,entry_price,exit_price,support_tip_price,support_conf_price,resist_tip_price,resist_conf_price,flag_extreme_price,structure_stop_price,target_price,target_hit,flag_width,pole_width,hold_bars,holding_bars,flag_height_log,flag_height_ratio,pole_height_log,support_intercept_log,support_slope,resist_intercept_log,resist_slope,flag_quality_score,gross_log_return,gross_return_pct,gross_r,structure_r,net_pnl,net_return_pct,fees,exit_reason
baseline,bear_flag,flag,short,115331,115372,115383,115382,115394,115372,115374,115380,2023-02-05T10:55:00,2023-02-05T14:20:00,2023-02-05T15:15:00,2023-02-05T16:10:00,1669.12,1647.64,1654.12,1641.88,1647.64,1654.017374,1653.768946,1655.865829,1655.31,1655.865829,1632.833036,false,11,41,11,11,0.004644,0.358565,0.012953,7.407099,0.000351,7.410812,0.000115,3.164246,0.007427,0.73997,0.573416,7.010996,70.011849,0.700118,3.985201,固定持有期
baseline,bear_flag,flag,short,115380,115428,115438,115437,115448,115428,115431,115436,2023-02-05T15:00:00,2023-02-05T19:00:00,2023-02-05T19:50:00,2023-02-05T20:40:00,1655.31,1614.08,1620.32,1618.25,1614.08,1620.42768,1620.967669,1621.675547,1621.55,1621.675547,1579.961521,false,10,48,10,10,0.004617,0.18306,0.025223,7.38652,0.000392,7.390779,0.000044,5.197618,0.001278,0.127753,0.050681,1.527059,8.777809,0.087778,3.997445,固定持有期
baseline,bear_pennant,pennant,short,115380,115443,115453,115452,115463,115443,115446,115446,2023-02-05T15:00:00,2023-02-05T20:15:00,2023-02-05T21:05:00,2023-02-05T21:55:00,1655.31,1614.12,1616.13,1621.9,1614.12,1617.304115,1624.303079,1617.934908,1622.39,1617.934908,1575.914938,false,10,63,10,10,0.00511,0.202809,0.025198,7.386545,0.000197,7.392834,-0.000393,5.478452,-0.003564,-0.357026,-0.141434,-3.196839,-39.709714,-0.397097,4.007141,固定持有期
baseline,bear_flag,flag,short,115496,115523,115534,115533,115545,115523,115526,115533,2023-02-06T00:40:00,2023-02-06T02:55:00,2023-02-06T03:50:00,2023-02-06T04:45:00,1641.09,1622.46,1626.42,1625.29,1622.46,1626.321126,1626.655539,1628.139054,1628.02,1628.139054,1607.956537,false,11,27,11,11,0.003421,0.29964,0.011417,7.391699,0.000216,7.394281,0.000083,2.984218,0.000695,0.069478,0.060875,0.657338,2.949164,0.029492,3.99861,固定持有期
baseline,bear_flag,flag,short,115719,115767,115783,115782,115799,115775,115773,115782,2023-02-06T19:15:00,2023-02-06T23:15:00,2023-02-07T00:35:00,2023-02-07T01:55:00,1652.54,1610.57,1618.01,1625.53,1608.549143,1619.268657,1613.788561,1622.741206,1621.34,1622.741206,1576.916968,false,16,48,16,16,0.006665,0.259076,0.025725,7.383088,0.000415,7.38634,0.000346,3.515925,-0.004637,-0.464768,-0.180247,-1.589447,-50.48614,-0.504861,4.009295,固定持有期
baseline,bull_pennant,pennant,long,115806,115830,115840,115839,115850,115834,115830,115834,2023-02-07T02:30:00,2023-02-07T04:30:00,2023-02-07T05:20:00,2023-02-07T06:10:00,1622.1,1636.13,1632.89,1633.5,1630.664925,1631.527749,1636.13,1632.956615,1631.01,1631.527749,1647.013326,false,10,24,10,10,0.003134,0.363935,0.008612,7.396743,0.000053,7.400089,-0.000194,2.608646,0.000374,0.037357,0.043369,0.447788,-0.265039,-0.00265,4.000747,固定持有期
baseline,bull_flag,flag,long,115874,115899,115909,115908,115919,115905,115908,115907,2023-02-07T08:10:00,2023-02-07T10:15:00,2023-02-07T11:05:00,2023-02-07T11:55:00,1628.22,1645.88,1643.59,1640.39,1645.325958,1640.435606,1646.315278,1643.009746,1642.03,1640.435606,1661.416706,false,10,25,10,10,0.002342,0.217089,0.010788,7.405694,-0.000298,7.406295,-0.000201,3.763842,-0.001949,-0.194696,-0.180654,-1.014458,-23.465682,-0.234657,3.996106,固定持有期
baseline,bull_flag,flag,long,115874,115913,115923,115922,115933,115915,115921,115919,2023-02-07T08:10:00,2023-02-07T11:25:00,2023-02-07T12:15:00,2023-02-07T13:05:00,1628.22,1644.74,1642.71,1642.31,1641.687002,1639.553101,1644.723872,1642.556818,1640.39,1639.553101,1659.377016,false,10,39,10,10,0.002648,0.26234,0.010095,7.40348,-0.00013,7.405328,-0.000132,3.847111,-0.000244,-0.02435,-0.024124,-0.126707,-6.434514,-0.064345,3.999513,固定持有期
baseline,bull_flag,flag,long,115874,115930,115940,115939,115950,115938,115939,115938,2023-02-07T08:10:00,2023-02-07T12:50:00,2023-02-07T13:40:00,2023-02-07T14:30:00,1628.22,1643.52,1639.95,1637.14,1643.536373,1632.311095,1645.187256,1635.670841,1634.55,1632.311095,1655.360224,false,10,56,10,10,0.005473,0.58514,0.009353,7.404606,-0.000685,7.405609,-0.00058,3.265396,-0.001715,-0.171347,-0.183359,-0.367854,-21.131242,-0.211312,3.996573,固定持有期
baseline,bear_pennant,pennant,short,115930,115961,115971,115970,115981,115961,115964,115964,2023-02-07T12:50:00,2023-02-07T15:25:00,2023-02-07T16:15:00,2023-02-07T17:05:00,1643.52,1628.42,1629.81,1638.36,1628.42,1630.70055,1634.347792,1631.823185,1633.59,1631.823185,1614.835962,false,10,31,10,10,0.00317,0.343424,0.00923,7.395365,0.00014,7.398999,-0.000155,2.98711,-0.005232,-0.524601,-0.566876,-4.247003,-56.470595,-0.564706,4.010492,固定持有期
