trade_no,conf_idx,exit_idx,entry_time,exit_time,side,family,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
3551,268161,268172,2024-07-20T02:45:00,2024-07-20T03:40:00,short,bear_flag,-0.106375,-16.11468,4.002422,-38.081058,-18963.174626000047,-0.8963174626000048,1.2098789715,-2.1061964341000046,-1.740832334236503
3552,268186,268196,2024-07-20T04:50:00,2024-07-20T05:40:00,short,bear_flag,0.258067,15.896723,3.996021,-37.822991,-18947.277903000046,-0.8947277903000046,1.2098789715,-2.104606761800005,-1.7395184240542068
3553,268246,268256,2024-07-20T09:50:00,2024-07-20T10:40:00,short,bear_flag,0.13472,4.613256,3.998278,-37.688271,-18942.664647000045,-0.8942664647000047,1.2098789715,-2.104145436200005,-1.7391371250888832
3554,268487,268497,2024-07-21T05:55:00,2024-07-21T06:45:00,short,bear_flag,0.651186,43.585565,3.990485,-37.037085,-18899.079082000044,-0.8899079082000045,1.2098789715,-2.0997868797000043,-1.7355346519467996
3555,268518,268531,2024-07-21T08:30:00,2024-07-21T09:35:00,short,bear_flag,-0.293907,-35.892265,4.006377,-37.330991999999995,-18934.971347000042,-0.8934971347000042,1.2098789715,-2.1033761062000043,-1.7385012515691982
3556,268548,268559,2024-07-21T11:00:00,2024-07-21T11:55:00,long,bull_flag,0.025242,-2.54184,4.000292,-37.305749999999996,-18937.513187000044,-0.8937513187000046,1.2098789715,-2.1036302902000044,-1.738711342004678
3557,268672,268682,2024-07-21T21:20:00,2024-07-21T22:10:00,long,bull_flag,0.279626,67.327435,4.014268,-37.026123999999996,-18870.185752000045,-0.8870185752000046,1.2098789715,-2.0968975467000046,-1.733146534566416
3558,268702,268712,2024-07-21T23:50:00,2024-07-22T00:40:00,long,bull_flag,0.265949,31.559115,4.007113,-36.760175,-18838.626637000045,-0.8838626637000047,1.2098789715,-2.0937416352000047,-1.7305380823374403
3559,268800,268816,2024-07-22T08:00:00,2024-07-22T09:20:00,short,bear_flag,-0.132879,-30.960345,4.005391,-36.893054,-18869.586982000044,-0.8869586982000046,1.2098789715,-2.0968376697000046,-1.733097044492276
3560,268895,268905,2024-07-22T15:55:00,2024-07-22T16:45:00,short,bear_flag,-0.022774,-8.48624,4.000897,-36.915828,-18878.073222000043,-0.8878073222000045,1.2098789715,-2.0976862937000043,-1.7337984567987879
3561,268953,268963,2024-07-22T20:45:00,2024-07-22T21:35:00,long,bull_flag,-0.395698,-60.292331,3.988739,-37.311526,-18938.365553000043,-0.8938365553000045,1.2098789715,-2.1037155268000047,-1.7387817925224636
3562,268992,269002,2024-07-23T00:00:00,2024-07-23T00:50:00,short,bear_flag,-0.507305,-106.622344,4.02052,-37.818831,-19044.987897000043,-0.9044987897000043,1.2098789715,-2.1143777612000045,-1.7475944379615198
3563,269016,269026,2024-07-23T02:00:00,2024-07-23T02:50:00,long,bull_flag,0.011212,-2.190329,4.000362,-37.807619,-19047.178226000044,-0.9047178226000046,1.2098789715,-2.1145967941000046,-1.7477754749951075
3564,269034,269044,2024-07-23T03:30:00,2024-07-23T04:20:00,long,bull_flag,0.000494,-3.913639,4.000017,-37.807125,-19051.091865000042,-0.9051091865000043,1.2098789715,-2.1149881580000045,-1.7480989485897551
3565,269052,269062,2024-07-23T05:00:00,2024-07-23T05:50:00,long,bull_flag,-0.236126,-40.800285,3.992638,-38.043251,-19091.892150000043,-0.9091892150000045,1.2098789715,-2.1190681865000043,-1.7514712102755183
3566,269117,269128,2024-07-23T10:25:00,2024-07-23T11:20:00,long,bull_flag,-0.301856,-93.87406,3.982022,-38.345107,-19185.76621000004,-0.9185766210000041,1.2098789715,-2.1284555925000044,-1.7592301731314157
3567,269169,269180,2024-07-23T14:45:00,2024-07-23T15:40:00,short,bear_flag,0.473861,107.909928,3.977622,-37.871246,-19077.85628200004,-0.9077856282000041,1.2098789715,-2.117664599700004,-1.7503111051467712
3568,269235,269245,2024-07-23T20:15:00,2024-07-23T21:05:00,long,bull_flag,0.124637,29.324556,4.006666,-37.746609,-19048.53172600004,-0.9048531726000042,1.2098789715,-2.114732144100004,-1.7478873456889437
3569,269319,269330,2024-07-24T03:15:00,2024-07-24T04:10:00,short,bear_flag,0.067692,8.104144,3.99758,-37.678917,-19040.42758200004,-0.9040427582000041,1.2098789715,-2.113921729700004,-1.747217514723128
3570,269398,269408,2024-07-24T09:50:00,2024-07-24T10:40:00,long,bull_pennant,0.360185,19.303542,4.004662,-37.318732,-19021.12404000004,-0.9021124040000039,1.2098789715,-2.111991375500004,-1.7456220210865974
3571,269424,269437,2024-07-24T12:00:00,2024-07-24T13:05:00,long,bull_flag,-0.31061,-31.806551,3.994438,-37.629341999999994,-19052.93059100004,-0.9052930591000041,1.2098789715,-2.115172030600004,-1.7482509246173836
