example_no,example_file,family,side,entry_time,exit_time,flag_width,pole_width,flag_quality_score,gross_r,net_pnl,target_hit,selection_score
68,flags-pennants-example-068.png,bull_pennant,long,2024-10-07 01:50,2024-10-07 02:40,10,39,6.779289,0.125006,35.956216,false,0.554257
69,flags-pennants-example-069.png,bear_flag,short,2024-10-28 06:20,2024-10-28 07:10,10,88,6.201374,-0.654963,-126.795286,false,0.592082
70,flags-pennants-example-070.png,bull_pennant,long,2024-11-21 14:00,2024-11-21 14:50,10,33,6.381493,-0.052905,-43.485017,false,0.51539
71,flags-pennants-example-071.png,bull_flag,long,2024-11-30 07:10,2024-11-30 08:00,10,64,5.610225,0.049695,16.309462,false,0.496613
72,flags-pennants-example-072.png,bull_flag,long,2025-01-13 23:10,2025-01-14 00:00,10,47,7.88,-0.002284,-5.116404,false,0.5903
73,flags-pennants-example-073.png,bull_pennant,long,2025-01-31 14:10,2025-01-31 15:10,12,32,7.066667,-0.046164,-18.052505,false,0.540667
74,flags-pennants-example-074.png,bear_flag,short,2025-02-18 07:55,2025-02-18 08:45,10,63,5.082799,0.183961,48.013201,false,0.462468
75,flags-pennants-example-075.png,bear_pennant,short,2025-02-25 02:10,2025-02-25 03:15,13,52,5.838146,-0.056472,-43.64384,false,0.500289
76,flags-pennants-example-076.png,bull_flag,long,2025-03-19 01:45,2025-03-19 02:35,10,83,8.678498,-0.102612,-42.120141,false,0.72821
77,flags-pennants-example-077.png,bear_pennant,short,2025-04-06 20:20,2025-04-06 21:35,15,50,7.333333,0.199831,178.421011,false,0.573333
78,flags-pennants-example-078.png,bear_flag,short,2025-04-06 21:50,2025-04-06 22:50,12,71,7.477313,0.081627,91.577743,false,0.596555
79,flags-pennants-example-079.png,bull_pennant,long,2025-04-09 22:15,2025-04-09 23:05,10,78,9.12,-0.058615,-82.242989,false,0.7922
80,flags-pennants-example-080.png,bull_pennant,long,2025-04-21 04:55,2025-04-21 05:45,10,69,7.807857,0.160064,61.310932,false,0.690971
81,flags-pennants-example-081.png,bear_flag,short,2025-06-09 04:10,2025-06-09 05:00,10,66,5.501179,0.175064,37.506072,false,0.495071
82,flags-pennants-example-082.png,bear_flag,short,2025-07-01 06:25,2025-07-01 07:15,10,49,5.915075,0.155052,24.298866,false,0.477404
83,flags-pennants-example-083.png,bear_pennant,short,2025-07-01 08:10,2025-07-01 09:00,10,70,4.600888,0.022804,0.602497,false,0.501053
84,flags-pennants-example-084.png,bull_flag,long,2025-07-02 09:10,2025-07-02 10:00,10,85,7.532461,-0.09125,-26.693507,false,0.664448
85,flags-pennants-example-085.png,bull_flag,long,2025-08-02 03:55,2025-08-02 04:45,10,49,7.203055,0.023398,1.187287,false,0.554683
86,flags-pennants-example-086.png,bull_pennant,long,2025-08-31 03:00,2025-08-31 04:10,14,67,7.914286,0.206341,52.130824,false,0.6445
87,flags-pennants-example-087.png,bull_flag,long,2025-08-31 04:45,2025-08-31 05:35,10,92,7.202504,-0.083671,-32.332456,false,0.66215
88,flags-pennants-example-088.png,bull_pennant,long,2025-09-12 19:20,2025-09-12 20:10,10,46,6.500952,0.174251,34.497851,false,0.555057
89,flags-pennants-example-089.png,bear_pennant,short,2025-09-22 00:15,2025-09-22 01:15,12,40,4.254519,2.15868,231.874319,true,0.488604
90,flags-pennants-example-090.png,bear_flag,short,2025-10-14 07:35,2025-10-14 08:30,11,74,8.690909,-0.032551,-24.622318,false,0.689636
91,flags-pennants-example-091.png,bear_pennant,short,2025-11-04 21:20,2025-11-04 22:10,10,63,6.572477,-0.23722,-308.725067,false,0.601849
92,flags-pennants-example-092.png,bull_flag,long,2025-11-07 22:45,2025-11-07 23:35,10,69,8.618795,-0.03125,-21.732139,false,0.689628
93,flags-pennants-example-093.png,bull_pennant,long,2025-11-12 13:10,2025-11-12 14:00,10,53,7.478816,0.096789,31.728041,false,0.631229
94,flags-pennants-example-094.png,bull_pennant,long,2025-12-09 18:00,2025-12-09 18:50,10,30,7.2,0.00136,-2.81475,false,0.557
95,flags-pennants-example-095.png,bear_flag,short,2025-12-11 04:25,2025-12-11 05:25,12,87,8.9,-0.056961,-49.805374,false,0.71525
96,flags-pennants-example-096.png,bear_pennant,short,2025-12-29 11:55,2025-12-29 12:50,11,32,7.163636,0.450978,90.119925,false,0.552545
97,flags-pennants-example-097.png,bull_pennant,long,2026-01-29 22:50,2026-01-29 23:40,10,38,4.724228,0.064756,10.503474,false,0.428454
98,flags-pennants-example-098.png,bear_pennant,short,2026-02-10 07:40,2026-02-10 08:30,10,62,7.106569,-0.002022,-5.194399,false,0.631394
99,flags-pennants-example-099.png,bear_flag,short,2026-02-10 09:25,2026-02-10 10:15,10,83,5.939294,0.086616,45.481537,false,0.563858
100,flags-pennants-example-100.png,bull_flag,long,2026-03-04 10:55,2026-03-04 11:45,10,79,7.791316,-0.141491,-102.159655,false,0.664979
