trade_no,exit_idx,exit_time,side,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
5305,320999,2025-01-19T13:55:00,short,-1.0,-85.188695,4.016234,-56.16960700000094,-23795.262459000023,-1.3795262459000024,1.1735233204000002,-2.5530495663000026,-2.175542251201097
5306,321169,2025-01-20T04:05:00,long,0.984381,162.209998,4.033249,-55.18522600000094,-23633.052461000025,-1.3633052461000026,1.1735233204000002,-2.5368285665000028,-2.1617197736090277
5307,321251,2025-01-20T10:55:00,long,-1.0,-101.865871,3.980423,-56.18522600000094,-23734.918332000027,-1.3734918332000028,1.1735233204000002,-2.547015153600003,-2.1704001184500044
5308,321360,2025-01-20T20:00:00,short,-0.301652,-73.874553,4.013972,-56.486878000000935,-23808.792885000028,-1.3808792885000027,1.1735233204000002,-2.554402608900003,-2.1766952258173484
5309,321503,2025-01-21T07:55:00,long,0.172802,19.560141,4.004713,-56.31407600000094,-23789.232744000026,-1.3789232744000026,1.1735233204000002,-2.552446594800003,-2.175028438233329
5310,321517,2025-01-21T09:05:00,short,-1.0,-79.764896,4.01515,-57.31407600000094,-23868.997640000027,-1.386899764000003,1.1735233204000002,-2.560423084400003,-2.1818254821960186
5311,321555,2025-01-21T12:15:00,short,-1.0,-59.5045,4.011099,-58.31407600000094,-23928.502140000026,-1.3928502140000028,1.1735233204000002,-2.566373534400003,-2.1868960674128264
5312,321602,2025-01-21T16:10:00,short,-1.0,-93.215544,4.01784,-59.31407600000094,-24021.717684000025,-1.4021717684000028,1.1735233204000002,-2.575695088800003,-2.194839287831167
5313,321702,2025-01-22T00:30:00,long,0.353857,19.684526,4.004738,-58.96021900000094,-24002.033158000024,-1.4002033158000025,1.1735233204000002,-2.5737266362000026,-2.1931619009690726
5314,321751,2025-01-22T04:35:00,long,-1.0,-50.777674,3.990643,-59.96021900000094,-24052.810832000025,-1.4052810832000024,1.1735233204000002,-2.5788044036000026,-2.197488843017629
5315,321822,2025-01-22T10:30:00,short,-1.0,-45.775855,4.008354,-60.96021900000094,-24098.586687000025,-1.4098586687000028,1.1735233204000002,-2.583381989100003,-2.2013895626884064
5316,321889,2025-01-22T16:05:00,long,-1.0,-110.379132,3.97872,-61.96021900000094,-24208.965819000023,-1.4208965819000023,1.1735233204000002,-2.5944199023000025,-2.210795352081869
5317,321923,2025-01-22T18:55:00,long,-1.0,-73.731717,3.986051,-62.96021900000094,-24282.69753600002,-1.4282697536000022,1.1735233204000002,-2.6017930740000024,-2.217078287897313
5318,321971,2025-01-22T22:55:00,short,1.8,84.251998,3.982353,-61.16021900000094,-24198.44553800002,-1.4198445538000022,1.1735233204000002,-2.5933678742000024,-2.2098988823810015
5319,322009,2025-01-23T02:05:00,short,1.8,85.715868,3.98206,-59.360219000000946,-24112.729670000022,-1.4112729670000022,1.1735233204000002,-2.5847962874000023,-2.2025947354151976
5320,322039,2025-01-23T04:35:00,long,-1.0,-105.730513,3.97965,-60.360219000000946,-24218.46018300002,-1.4218460183000023,1.1735233204000002,-2.5953693387000025,-2.211604399830214
5321,322112,2025-01-23T10:40:00,long,-1.0,-62.561998,3.988285,-61.360219000000946,-24281.022181000022,-1.4281022181000025,1.1735233204000002,-2.6016255385000027,-2.216935525076083
5322,322146,2025-01-23T13:30:00,short,-1.0,-60.792205,4.011356,-62.360219000000946,-24341.814386000024,-1.4341814386000027,1.1735233204000002,-2.607704759000003,-2.222115840110579
5323,322305,2025-01-24T02:45:00,long,-1.0,-75.60484,3.985676,-63.360219000000946,-24417.419226000024,-1.4417419226000026,1.1735233204000002,-2.6152652430000027,-2.2285583912457563
5324,322333,2025-01-24T05:05:00,long,1.8,130.842058,4.026974,-61.56021900000095,-24286.577168000025,-1.4286577168000028,1.1735233204000002,-2.602181037200003,-2.2174088848213422
5325,322406,2025-01-24T11:10:00,long,0.642675,36.270889,4.008056,-60.91754400000095,-24250.306279000026,-1.4250306279000027,1.1735233204000002,-2.598553948300003,-2.214318116332171
5326,322428,2025-01-24T13:00:00,short,-1.0,-65.205717,4.012239,-61.91754400000095,-24315.511996000027,-1.431551199600003,1.1735233204000002,-2.605074520000003,-2.219874522060672
5327,322460,2025-01-24T15:40:00,long,-1.0,-89.808055,3.982835,-62.91754400000095,-24405.320051000028,-1.4405320051000028,1.1735233204000002,-2.614055325500003,-2.2275273785006604
5328,322485,2025-01-24T17:45:00,short,-1.0,-38.00576,4.0068,-63.91754400000095,-24443.325811000028,-1.444332581100003,1.1735233204000002,-2.617855901500003,-2.230765981376234
5329,322678,2025-01-25T09:50:00,long,-1.0,-46.672297,3.991464,-64.91754400000096,-24489.99810800003,-1.4489998108000028,1.1735233204000002,-2.622523131200003,-2.234743089984872
5330,322725,2025-01-25T13:45:00,long,0.498343,30.349039,4.006871,-64.41920100000095,-24459.64906900003,-1.4459649069000031,1.1735233204000002,-2.6194882273000033,-2.2321569429119994
5331,322739,2025-01-25T14:55:00,short,-1.0,-38.47278,4.006893,-65.41920100000095,-24498.12184900003,-1.449812184900003,1.1735233204000002,-2.623335505300003,-2.2354353421846174
5332,322809,2025-01-25T20:45:00,long,0.35974,7.64926,4.00233,-65.05946100000095,-24490.47258900003,-1.449047258900003,1.1735233204000002,-2.622570579300003,-2.2347835221596526
5333,322836,2025-01-25T23:00:00,long,-1.0,-34.984819,3.993802,-66.05946100000095,-24525.45740800003,-1.4525457408000033,1.1735233204000002,-2.6260690612000035,-2.237764700155168
5334,322892,2025-01-26T03:40:00,long,1.8,48.121356,4.010426,-64.25946100000095,-24477.33605200003,-1.4477336052000034,1.1735233204000002,-2.6212569256000036,-2.2336641121938143
