trade_no,conf_idx,exit_idx,entry_time,exit_time,side,family,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
81,5609,5619,2018-08-29T19:00:00,2018-08-30T05:00:00,long,bull_flag,-0.062604,-51.850625,3.990428,-4.556272000000002,-3133.1482930000006,0.6866851706999999,1.0474504077,-0.36076523700000007,-0.34442226032654977
82,5643,5653,2018-08-31T05:00:00,2018-08-31T15:00:00,short,bear_flag,0.14816,60.389059,3.987125,-4.408112000000002,-3072.7592340000006,0.6927240765999999,1.0474504077,-0.35472633110000007,-0.3386569220770185
83,5810,5828,2018-09-07T04:00:00,2018-09-07T22:00:00,short,bear_flag,0.093018,131.612081,3.972883,-4.315094000000002,-2941.147153000001,0.7058852846999999,1.0474504077,-0.3415651230000001,-0.32609192806560794
84,5990,6000,2018-09-14T16:00:00,2018-09-15T02:00:00,long,bull_pennant,-0.02572,-16.502647,3.997499,-4.340814000000002,-2957.6498000000006,0.7042350199999999,1.0474504077,-0.34321538770000004,-0.32766743435007595
85,6030,6045,2018-09-16T08:00:00,2018-09-16T23:00:00,long,bull_flag,0.142442,25.341293,4.005869,-4.198372000000002,-2932.3085070000006,0.7067691492999999,1.0474504077,-0.3406812584000001,-0.32524810329500065
86,6108,6119,2018-09-19T14:00:00,2018-09-20T01:00:00,long,bull_flag,0.547524,120.25231,4.024855,-3.6508480000000016,-2812.056197000001,0.7187943802999999,1.0474504077,-0.3286560274000001,-0.3137676256403066
87,6176,6186,2018-09-22T10:00:00,2018-09-22T20:00:00,long,bull_flag,0.055309,31.701653,4.007142,-3.595539000000002,-2780.3545440000007,0.7219645455999999,1.0474504077,-0.3254858621000001,-0.3107410715651011
88,6209,6219,2018-09-23T19:00:00,2018-09-24T05:00:00,long,bull_flag,-0.04389,-12.223507,3.998355,-3.639429000000002,-2792.578051000001,0.7207421948999999,1.0474504077,-0.32670821280000006,-0.311908048723174
89,6255,6265,2018-09-25T17:00:00,2018-09-26T03:00:00,short,bear_flag,-0.009984,-9.136314,4.001027,-3.6494130000000022,-2801.7143650000007,0.7198285634999999,1.0474504077,-0.32762184420000007,-0.3127802918320446
90,6327,6337,2018-09-28T17:00:00,2018-09-29T03:00:00,long,bull_flag,-0.477312,-237.426156,3.953305,-4.126725000000002,-3039.1405210000007,0.6960859478999999,1.0474504077,-0.3513644598000001,-0.3354473464491068
91,6366,6376,2018-09-30T08:00:00,2018-09-30T18:00:00,long,bull_flag,0.306191,50.623646,4.010927,-3.820534000000002,-2988.5168750000007,0.7011483125,1.0474504077,-0.3463020952,-0.3306143113356679
92,6406,6417,2018-10-02T00:00:00,2018-10-02T11:00:00,short,bear_flag,0.206069,23.475944,3.994506,-3.6144650000000023,-2965.040931000001,0.7034959069,1.0474504077,-0.3439545008,-0.32837306498859264
93,6448,6458,2018-10-03T18:00:00,2018-10-04T04:00:00,short,bear_flag,-0.664107,-169.042955,4.033002,-4.278572000000002,-3134.083886000001,0.6865916113999999,1.0474504077,-0.36085879630000006,-0.3445115813094929
94,6581,6593,2018-10-09T07:00:00,2018-10-09T19:00:00,long,bull_flag,-0.106682,-27.390549,3.995321,-4.385254000000002,-3161.474435000001,0.6838525564999999,1.0474504077,-0.3635978512000001,-0.3471265546579825
95,6848,6858,2018-10-20T10:00:00,2018-10-20T20:00:00,short,bear_flag,-0.065537,-28.039016,4.004807,-4.450791000000002,-3189.513451000001,0.6810486548999999,1.0474504077,-0.3664017528000001,-0.34980343709498185
96,6916,6927,2018-10-23T06:00:00,2018-10-23T17:00:00,short,bear_flag,0.198855,23.600339,3.994481,-4.251936000000002,-3165.913112000001,0.6834086887999999,1.0474504077,-0.36404171890000003,-0.34755031476799536
97,6969,6979,2018-10-25T11:00:00,2018-10-25T21:00:00,short,bear_flag,0.065847,6.68717,3.997863,-4.186089000000003,-3159.225942000001,0.6840774057999999,1.0474504077,-0.3633730019000001,-0.3469118912253779
98,7161,7172,2018-11-02T11:00:00,2018-11-02T22:00:00,long,bull_flag,0.056632,12.483113,4.003297,-4.129457000000003,-3146.742829000001,0.6853257170999998,1.0474504077,-0.3621246906000002,-0.34572012950489606
99,7212,7222,2018-11-04T14:00:00,2018-11-05T00:00:00,short,bear_flag,-1.069482,-138.976177,4.02699,-5.198939000000003,-3285.719006000001,0.6714280993999999,1.0474504077,-0.37602230830000005,-0.3589881731257071
100,7245,7255,2018-11-05T23:00:00,2018-11-06T09:00:00,long,bull_flag,0.253563,41.66086,4.009134,-4.945376000000003,-3244.058146000001,0.6755941853999998,1.0474504077,-0.37185622230000015,-0.355010814417959
101,7310,7323,2018-11-08T16:00:00,2018-11-09T05:00:00,short,bear_flag,0.093473,7.967689,3.997607,-4.851903000000003,-3236.090457000001,0.6763909542999998,1.0474504077,-0.3710594534000001,-0.35425013983695464
102,7352,7365,2018-11-10T10:00:00,2018-11-10T23:00:00,short,bear_flag,-0.014071,-7.025942,4.000605,-4.865974000000003,-3243.1163990000014,0.6756883600999999,1.0474504077,-0.3717620476000001,-0.35492090591316694
103,7413,7423,2018-11-12T23:00:00,2018-11-13T09:00:00,long,bull_flag,-0.132508,-22.037003,3.996392,-4.998482000000003,-3265.1534020000013,0.6734846597999998,1.0474504077,-0.37396574790000014,-0.35702477668719146
104,7486,7496,2018-11-16T00:00:00,2018-11-16T10:00:00,short,bear_flag,0.03388,57.872572,3.987628,-4.964602000000003,-3207.280830000001,0.6792719169999999,1.0474504077,-0.3681784907000001,-0.3514996872343096
105,7531,7542,2018-11-17T21:00:00,2018-11-18T08:00:00,short,bear_flag,-0.207945,-69.222206,4.013042,-5.1725470000000024,-3276.503036000001,0.6723496963999999,1.0474504077,-0.3751007113000001,-0.35810832526539305
106,7665,7675,2018-11-23T11:00:00,2018-11-23T21:00:00,short,bear_flag,0.024779,19.431366,3.995315,-5.147768000000003,-3257.071670000001,0.6742928329999999,1.0474504077,-0.3731575747000001,-0.35625321443082203
