preset,family,pattern_kind,side,base_idx,tip_idx,conf_idx,flag_end_idx,exit_idx,support_pivot_idx,resist_pivot_idx,flag_extreme_idx,base_time,tip_time,entry_time,exit_time,base_price,tip_price,entry_price,exit_price,support_tip_price,support_conf_price,resist_tip_price,resist_conf_price,flag_extreme_price,structure_stop_price,target_price,target_hit,flag_width,pole_width,hold_bars,holding_bars,flag_height_log,flag_height_ratio,pole_height_log,support_intercept_log,support_slope,resist_intercept_log,resist_slope,flag_quality_score,gross_log_return,gross_return_pct,gross_r,structure_r,net_pnl,net_return_pct,fees,exit_reason
baseline,bull_flag,flag,long,22276,22364,22375,22374,22386,22365,22367,22374,2020-07-24T06:00:00,2020-07-27T22:00:00,2020-07-28T09:00:00,2020-07-28T20:00:00,9474.577029,11206.523083,10770.199046,10962.982584,11063.811884,10692.647388,11357.362459,10791.118418,10725.799338,10692.647388,12738.983898,false,11,88,11,11,0.043844,0.261157,0.167884,9.311435,-0.003102,9.337621,-0.004649,5.49747,0.017741,1.789972,0.105677,2.485873,174.961392,1.749614,4.035799,固定持有期
baseline,bull_flag,flag,long,22390,22411,22421,22420,22431,22416,22411,22416,2020-07-29T00:00:00,2020-07-29T21:00:00,2020-07-30T07:00:00,2020-07-30T17:00:00,10865.435272,11288.199855,10941.604954,11041.382278,11158.912771,10797.848832,11288.199855,10968.051969,10976.896338,10797.848832,11367.333233,false,10,21,10,10,0.027965,0.732624,0.038171,9.319994,-0.003289,9.331513,-0.002877,1.658973,0.009078,0.911908,0.237816,0.694074,87.172519,0.871725,4.018238,固定持有期
baseline,bear_flag,flag,short,22489,22509,22519,22518,22529,22509,22512,22515,2020-08-02T03:00:00,2020-08-02T23:00:00,2020-08-03T09:00:00,2020-08-03T19:00:00,11999.954109,11071.261916,11128.031795,11399.659157,11071.261916,11203.324332,11157.490906,11228.024132,11199.868075,11228.024132,10266.818815,false,10,20,10,10,0.011549,0.14338,0.08055,9.312108,0.001186,9.319866,0.00063,4.984687,-0.024116,-2.440929,-0.299393,-2.716482,-248.141724,-2.481417,4.048819,固定持有期
baseline,bull_flag,flag,long,22545,22579,22590,22589,22601,22580,22581,22586,2020-08-04T11:00:00,2020-08-05T21:00:00,2020-08-06T08:00:00,2020-08-06T19:00:00,11117.620203,11763.961096,11707.469362,11863.763657,11622.795659,11598.873224,11765.634558,11650.931574,11607.453264,11598.873224,12388.102094,false,11,34,11,11,0.013393,0.23701,0.056509,9.360724,-0.000187,9.372938,-0.000891,3.767904,0.013262,1.334996,0.23468,1.439225,129.47294,1.294729,4.0267,固定持有期
baseline,bear_flag,flag,short,22595,22624,22634,22633,22644,22633,22627,22631,2020-08-06T13:00:00,2020-08-07T18:00:00,2020-08-08T04:00:00,2020-08-08T14:00:00,11867.973277,11479.846868,11539.990655,11731.566576,11479.960177,11551.814106,11568.679967,11662.991573,11634.73164,11662.991573,11162.590485,false,10,29,10,10,0.013402,0.403053,0.03325,9.348358,0.000624,9.356057,0.000812,2.648637,-0.016465,-1.660105,-0.495175,-1.557516,-170.043667,-1.700437,4.033202,固定持有期
baseline,bull_flag,flag,long,22722,22750,22761,22760,22772,22758,22756,22759,2020-08-11T20:00:00,2020-08-13T00:00:00,2020-08-13T11:00:00,2020-08-13T22:00:00,11212.768116,11634.247528,11552.088539,11717.668471,11618.121565,11339.905643,11648.758071,11474.342205,11402.549499,11339.905643,11986.322747,false,11,28,11,11,0.020116,0.545153,0.0369,9.360321,-0.002203,9.362955,-0.001371,2.118789,0.014232,1.433333,0.38568,0.780364,139.304663,1.393047,4.028667,固定持有期
baseline,bull_flag,flag,long,22759,22799,22814,22813,22829,22810,22813,22810,2020-08-13T09:00:00,2020-08-15T01:00:00,2020-08-15T16:00:00,2020-08-16T07:00:00,11402.549499,11921.789667,11854.138282,11858.992971,11903.001782,11694.045965,11954.516253,11844.790149,11749.406163,11694.045965,12393.942539,false,15,40,15,15,0.014565,0.327079,0.044531,9.384546,-0.001181,9.388864,-0.000615,2.901087,0.000409,0.040954,0.009195,0.030324,0.094535,0.000945,4.000819,固定持有期
baseline,bear_flag,flag,short,22861,22885,22896,22895,22907,22893,22891,22891,2020-08-17T15:00:00,2020-08-18T15:00:00,2020-08-19T02:00:00,2020-08-19T13:00:00,12420.562559,11934.455464,11912.128945,11863.592834,11934.565305,11948.967103,12008.091714,12104.681357,12060.681033,12104.681357,11445.920561,false,11,24,11,11,0.010521,0.263528,0.039924,9.387194,0.00011,9.393336,0.000728,3.149524,0.004083,0.407451,0.102266,0.252067,36.753268,0.367533,3.991851,固定持有期
baseline,bear_flag,flag,short,22861,22899,22909,22908,22919,22908,22901,22907,2020-08-17T15:00:00,2020-08-19T05:00:00,2020-08-19T15:00:00,2020-08-20T01:00:00,12420.562559,11711.550948,11726.575251,11756.61213,11711.664668,11754.938897,11809.802067,11876.9412,11863.592834,11876.9412,11057.179,false,10,38,10,10,0.012899,0.219448,0.058778,9.368341,0.000369,9.376685,0.000567,4.254131,-0.002558,-0.256144,-0.043523,-0.199759,-29.619489,-0.296195,4.005123,固定持有期
baseline,bear_flag,flag,short,22946,22966,22976,22975,22986,22970,22972,22975,2020-08-21T04:00:00,2020-08-22T00:00:00,2020-08-22T10:00:00,2020-08-22T20:00:00,11869.93109,11419.658463,11570.039055,11609.330173,11328.274953,11566.011991,11431.508573,11653.191431,11587.537406,11653.191431,11131.142499,false,10,20,10,10,0.014594,0.377374,0.038672,9.335057,0.002077,9.344129,0.001921,2.389933,-0.00339,-0.339594,-0.087665,-0.472519,-37.966157,-0.379662,4.006792,固定持有期
baseline,bull_flag,flag,long,22966,22987,22997,22996,23007,22995,22996,22995,2020-08-22T00:00:00,2020-08-22T21:00:00,2020-08-23T07:00:00,2020-08-23T17:00:00,11419.658463,11666.997486,11616.436594,11632.69821,11660.054992,11557.413616,11678.777487,11600.053253,11577.869352,11557.413616,11868.037645,false,10,21,10,10,0.007669,0.357883,0.021428,9.363924,-0.000884,9.365529,-0.000676,2.516523,0.001399,0.139988,0.065284,0.275513,9.995999,0.09996,4.0028,固定持有期
baseline,bull_flag,flag,long,23001,23025,23035,23034,23045,23028,23025,23034,2020-08-23T11:00:00,2020-08-24T11:00:00,2020-08-24T21:00:00,2020-08-25T07:00:00,11526.538808,11792.945026,11755.097305,11586.425489,11732.872361,11724.734309,11792.945026,11737.036846,11726.30983,11724.734309,12026.786063,false,10,24,10,10,0.005666,0.247992,0.022849,9.37015,-0.000069,9.375257,-0.000475,3.379437,-0.014453,-1.434882,-0.632523,-5.555177,-147.459537,-1.474595,3.971302,固定持有期
baseline,bear_flag,flag,short,23025,23055,23068,23067,23081,23062,23060,23064,2020-08-24T11:00:00,2020-08-25T17:00:00,2020-08-26T06:00:00,2020-08-26T19:00:00,11792.945026,11230.820167,11321.503241,11460.069894,11230.923608,11325.614656,11307.077748,11431.472717,11393.161666,11431.472717,10781.85022,false,13,30,13,13,0.014352,0.29385,0.04884,9.326426,0.000646,9.333184,0.000842,2.964937,-0.012165,-1.223925,-0.249079,-1.260046,-126.416929,-1.264169,4.024478,固定持有期
baseline,bull_flag,flag,long,23103,23141,23151,23150,23161,23145,23150,23147,2020-08-27T17:00:00,2020-08-29T07:00:00,2020-08-29T17:00:00,2020-08-30T03:00:00,11191.206692,11558.236181,11510.120275,11612.729754,11465.74001,11420.10368,11558.12364,11504.743962,11438.222011,11420.10368,11887.60893,false,10,38,10,10,0.010438,0.32345,0.03227,9.347119,-0.000399,9.355144,-0.000463,3.374999,0.008875,0.891472,0.275031,1.139895,85.129353,0.851294,4.017829,固定持有期
baseline,bull_flag,flag,long,23147,23181,23193,23192,23205,23190,23188,23190,2020-08-29T13:00:00,2020-08-30T23:00:00,2020-08-31T11:00:00,2020-08-31T23:00:00,11438.222011,11711.150277,11680.535394,11649.621971,11710.905562,11536.81289,11723.836652,11640.729764,11580.091914,11536.81289,11959.245517,false,12,34,12,12,0.011254,0.477251,0.023581,9.368276,-0.001248,9.369379,-0.000593,2.390532,-0.00265,-0.264658,-0.112383,-0.215091,-30.460465,-0.304605,3.994707,固定持有期
