family,direction,pattern_kind,base_idx,tip_idx,conf_idx,flag_end_idx,exit_idx,support_pivot_idx,resist_pivot_idx,flag_extreme_idx,base_time,tip_time,conf_time,exit_time,base_price,tip_price,conf_price,exit_price,support_tip_price,support_conf_price,resist_tip_price,resist_conf_price,flag_extreme_price,structure_stop_price,flag_width,flag_height_log,flag_height_ratio,pole_width,pole_height_log,support_intercept_log,support_slope,resist_intercept_log,resist_slope,hold_bars,forward_log_return,flag_quality_score,target_price,target_hit,max_favorable_log_return,future_return_r
bull_flag,long,flag,14043,14071,14083,14082,14095,14079,14077,14079,2019-08-16T05:00:00,2019-08-17T09:00:00,2019-08-17T21:00:00,2019-08-18T09:00:00,9907.476850436,10438.55095086241,10144.692285364077,10193.36503685298,10419.037904921952,9912.627216088216,10476.38984534842,10149.59602381754,10078.63510625754,9912.627216088216,12,0.03508792766132984,0.6719757094805636,28,0.05221606550101754,9.251389979463148,-0.004152106641408667,9.256879418122343,-0.0026408529211320703,12,0.00478638088583061,1.8262227511127338,10688.481931394426,false,0.009131464408628887,0.09166490887248747
bear_flag,short,flag,14156,14183,14193,14192,14203,14190,14186,14192,2019-08-20T22:00:00,2019-08-22T01:00:00,2019-08-22T11:00:00,2019-08-22T21:00:00,10828.2673738487,9817.409509902349,9966.230182243338,10129.460888946214,9817.50360487062,9968.077298923065,9943.06855455528,10043.533624594624,10021.742116566831,10043.533624594624,10,0.020599654269519263,0.21019460384092023,27,0.09800277406317015,9.191922153640345,0.001522084206419139,9.20463095971194,0.0010053326253173069,10,-0.016245701243551736,3.9344976371234193,9035.846603246122,false,0.0,-0.165767769319266
bull_flag,long,flag,14275,14301,14311,14310,14321,14306,14310,14306,2019-08-25T21:00:00,2019-08-26T23:00:00,2019-08-27T09:00:00,2019-08-27T19:00:00,9996.202838172328,10371.401257803007,10160.57373681327,10165.126725411848,10292.857494393234,10056.561504759022,10371.313769053351,10171.38767895001,10174.023513442724,10056.561504759022,10,0.019214381698301253,0.5214662791388065,26,0.036846834525970706,9.239205486525757,-0.0023224900030233524,9.246798982596772,-0.0019465054588048843,10,0.00044800312620907334,2.1906017244123452,10541.941669248135,false,0.0029811290885888297,0.012158524116727257
bear_flag,short,flag,14301,14330,14343,14342,14356,14337,14332,14341,2019-08-26T23:00:00,2019-08-28T04:00:00,2019-08-28T17:00:00,2019-08-29T06:00:00,10371.401257803007,10087.805076020868,10199.339384971176,9550.812912993251,10087.89679698617,10196.724963608693,10175.655983307075,10250.777537883865,10239.279234327534,10250.777537883865,13,0.014903953746555842,0.5375663600699515,29,0.02772486311200062,9.219091647317462,0.0008254014152223118,9.227753478336577,0.0005657969774982557,13,0.06569667936412493,2.00844896260951,9920.448072758005,true,0.06569667936412493,2.3695943636846426
bull_flag,long,flag,14565,14596,14606,14605,14616,14601,14605,14603,2019-09-06T23:00:00,2019-09-08T06:00:00,2019-09-08T16:00:00,2019-09-09T02:00:00,10298.174466611572,10550.85120385809,10396.57016909273,10300.858570380433,10504.558282784492,10270.813458550729,10559.725943249725,10370.318425754434,10361.787537985632,10270.813458550729,10,0.018081775273305567,0.7459510184412655,31,0.024239896221455837,9.2595645641118,-0.0022503057066847573,9.264802604579709,-0.0018099597390304038,10,-0.00924871221152479,2.0443423564911223,10651.66115025623,false,0.0012866494775245485,-0.3815491670025523
bear_flag,short,flag,14625,14657,14667,14666,14677,14657,14662,14662,2019-09-09T11:00:00,2019-09-10T19:00:00,2019-09-11T05:00:00,2019-09-11T15:00:00,10413.075148106152,10026.576398454878,10027.248739863498,9990.325716163976,10026.576398454878,10060.468182500706,10114.427990317554,10163.940469720874,10139.154007059282,10163.940469720874,10,0.011165355866646465,0.2951998946949311,32,0.03782303472087989,9.212994486541465,0.00033744950453329863,9.221718197366867,0.000488329008248846,10,0.00368906489195453,3.3125210502532836,9655.070584488867,false,0.00368906489195453,0.09753487310519832
bear_flag,short,flag,14625,14677,14687,14686,14697,14686,14683,14683,2019-09-09T11:00:00,2019-09-11T15:00:00,2019-09-12T01:00:00,2019-09-12T11:00:00,10413.075148106152,9990.325716163981,10123.633574632639,10170.185446593325,9990.41875765169,10172.68063426003,10017.885468629398,10261.430485281991,10163.309924328336,10261.430485281991,10,0.017166972699570238,0.41421048798697835,52,0.04144504593063303,9.20938178844693,0.0018079248387015783,9.212127321293755,0.002402021122921325,10,-0.004587796270723032,3.528538888804917,9712.634875209538,false,0.005695781156866531,-0.11069589061142968
bear_flag,short,flag,14709,14729,14739,14738,14749,14729,14733,14733,2019-09-12T23:00:00,2019-09-13T19:00:00,2019-09-14T05:00:00,2019-09-14T15:00:00,10414.87450380293,10210.735910386056,10290.405646766769,10356.06850035346,10210.735910386056,10287.152346560324,10337.456949973777,10348.687785546263,10341.947820879988,10348.687785546263,10,0.012768521608579775,0.645027352097736,20,0.019795318085433777,9.231194985974193,0.0007456064667115684,9.24352917487092,0.00010858317796320963,10,-0.006360705901078845,1.7301931120419938,10088.706727240375,false,0.001719425722393808,-0.32132375310297834
bull_flag,long,flag,14858,14890,14900,14899,14910,14894,14890,14894,2019-09-19T04:00:00,2019-09-20T12:00:00,2019-09-20T22:00:00,2019-09-21T08:00:00,9821.808972514753,10217.68805689155,10136.05541574887,10034.594486416529,10122.841333150385,10084.96507742866,10217.68805689155,10137.279059491535,10107.673790421866,10084.96507742866,10,0.010825425069766581,0.27395719908683414,32,0.039515023170956454,9.222549667579875,-0.0003748680020695806,9.231875620641363,-0.0007900716833343094,10,-0.010060338716394668,3.4701231360225093,10544.600557321883,false,0.003208242590744703,-0.2545952883000969
bear_flag,short,flag,14890,14929,14939,14938,14949,14937,14933,14938,2019-09-20T12:00:00,2019-09-22T03:00:00,2019-09-22T13:00:00,2019-09-22T23:00:00,10217.68805689155,9873.310541193401,9986.228044084086,10028.79319768355,9873.395552602846,10036.03896935113,9973.912867092258,10106.098699750564,10033.384982307703,10106.098699750564,10,0.016082819097317014,0.46909021850662713,39,0.03428512994476307,9.19759910088293,0.001633868955231294,9.207728250063523,0.0013166102191318767,10,-0.004253327264065021,2.839071650460184,9649.651669284962,false,0.0011916120090589288,-0.12405749288153715
